1,3360,Text_t,10228,NA,NA
1,3360,Tempo,335001,NA,NA
1,3480,Text_t,10563,NA,NA
1,3600,Note_off_c,2,48,52
1,3600,Note_off_c,2,60,41
1,3600,Note_off_c,3,64,41
1,3600,Note_off_c,3,72,41
1,3600,Note_on_c,2,50,48
1,3600,Note_on_c,2,57,48
1,3600,Note_on_c,3,65,56
1,3600,Note_on_c,3,69,56
1,3600,Text_t,166.667,NA,NA
1,3600,Text_t,10898,NA,NA
1,3600,Tempo,359999,NA,NA
1,3690,Note_off_c,2,50,48
1,3690,Note_off_c,2,57,48
1,3690,Note_off_c,3,65,56
1,3690,Note_off_c,3,69,56
1,3690,Note_on_c,2,50,45
1,3690,Note_on_c,2,57,45
1,3690,Note_on_c,3,65,43
1,3690,Note_on_c,3,69,43
1,3720,Note_off_c,2,50,45
1,3720,Note_off_c,2,57,45
1,3720,Note_off_c,3,65,43
1,3720,Note_off_c,3,69,43
1,3720,Note_on_c,2,50,48
1,3720,Note_on_c,2,57,48
1,3720,Note_on_c,3,65,51
1,3720,Note_on_c,3,69,51
1,3720,Text_t,157.895,NA,NA
1,3720,Text_t,11258,NA,NA
1,3720,Tempo,379999,NA,NA
1,3840,Note_off_c,2,50,48
1,3840,Note_off_c,2,57,48
1,3840,Note_off_c,3,65,51
1,3840,Note_off_c,3,69,51
1,3840,Note_on_c,2,50,42
1,3840,Note_on_c,2,57,42
1,3840,Note_on_c,3,65,42
1,3840,Note_on_c,3,74,42
1,3840,Text_t,166.667,NA,NA
1,3840,Text_t,11638,NA,NA
1,3840,Tempo,359999,NA,NA
1,3960,Note_off_c,2,50,42
1,3960,Note_off_c,2,57,42
1,3960,Note_off_c,3,65,42
1,3960,Note_off_c,3,74,42
1,3960,Note_on_c,2,52,49
1,3960,Note_on_c,2,45,49
1,3960,Note_on_c,3,64,56
1,3960,Note_on_c,3,72,56
1,3960,Text_t,153.846,NA,NA
1,3960,Text_t,11998,NA,NA
1,3960,Tempo,390000,NA,NA
1,4050,Note_off_c,2,52,49
1,4050,Note_off_c,3,64,56
1,4050,Note_off_c,3,72,56
1,4050,Note_on_c,2,56,45
1,4050,Note_on_c,3,62,46
1,4050,Note_on_c,3,70,46
1,4080,Note_off_c,2,56,45
1,4080,Note_off_c,3,62,46
1,4080,Note_off_c,3,70,46
1,4080,Note_on_c,2,57,49
1,4080,Note_on_c,3,60,48
1,4080,Note_on_c,3,69,48
1,4080,Text_t,166.667,NA,NA
1,4080,Text_t,12388,NA,NA
1,4080,Tempo,359999,NA,NA
1,4200,Note_off_c,2,45,49
1,4200,Text_t,171.429,NA,NA
1,4200,Text_t,12748,NA,NA
1,4200,Tempo,349999,NA,NA
1,4320,Note_off_c,2,57,49
1,4320,Note_off_c,3,60,48
1,4320,Note_off_c,3,69,48
1,4320,Note_on_c,2,46,54
1,4320,Note_on_c,2,53,54
1,4320,Note_on_c,3,62,49
1,4320,Note_on_c,3,65,49
1,4320,Text_t,157.895,NA,NA
1,4320,Text_t,13098,NA,NA
1,4320,Tempo,379999,NA,NA
1,4410,Note_off_c,2,46,54
1,4410,Note_off_c,2,53,54
1,4410,Note_off_c,3,62,49
1,4410,Note_off_c,3,65,49
1,4410,Note_on_c,2,46,42
1,4410,Note_on_c,2,53,42
1,4410,Note_on_c,3,62,47
1,4410,Note_on_c,3,65,47
1,4440,Note_off_c,2,46,42
1,4440,Note_off_c,2,53,42
1,4440,Note_off_c,3,62,47
1,4440,Note_off_c,3,65,47
1,4440,Note_on_c,2,46,47
1,4440,Note_on_c,2,53,47
1,4440,Note_on_c,3,62,50
1,4440,Note_on_c,3,65,50
1,4440,Text_t,176.471,NA,NA
1,4440,Text_t,13478,NA,NA
1,4440,Tempo,339999,NA,NA
1,4560,Note_off_c,2,46,47
1,4560,Note_off_c,2,53,47
1,4560,Note_off_c,3,62,50
1,4560,Note_off_c,3,65,50
1,4560,Note_on_c,2,46,42
1,4560,Note_on_c,2,53,42
1,4560,Note_on_c,3,62,47
1,4560,Note_on_c,3,70,47
1,4560,Text_t,13818,NA,NA
1,4680,Note_off_c,2,46,42
1,4680,Note_off_c,2,53,42
1,4680,Note_off_c,3,62,47
1,4680,Note_off_c,3,70,47
1,4680,Note_on_c,2,41,54
1,4680,Note_on_c,2,53,54
1,4680,Note_on_c,3,60,50
1,4680,Note_on_c,3,69,50
1,4680,Text_t,150,NA,NA
1,4680,Text_t,14158,NA,NA
1,4680,Tempo,400000,NA,NA
1,4770,Note_off_c,2,41,54
1,4770,Note_off_c,2,53,54
1,4770,Note_off_c,3,60,50
1,4770,Note_off_c,3,69,50
1,4770,Note_on_c,2,41,45
1,4770,Note_on_c,2,53,45
1,4770,Note_on_c,3,58,46
1,4770,Note_on_c,3,67,46
1,4800,Note_off_c,2,41,45
1,4800,Note_off_c,2,53,45
1,4800,Note_off_c,3,58,46
1,4800,Note_off_c,3,67,46
1,4800,Note_on_c,2,41,49
1,4800,Note_on_c,2,53,49
1,4800,Note_on_c,3,57,49
1,4800,Note_on_c,3,65,49
1,4800,Text_t,176.471,NA,NA
1,4800,Text_t,14558,NA,NA
1,4800,Tempo,339999,NA,NA
1,4920,Note_off_c,2,41,49
1,4920,Note_off_c,2,53,49
1,4920,Note_off_c,3,57,49
1,4920,Note_off_c,3,65,49
1,4920,Note_on_c,2,46,43
1,4920,Note_on_c,2,53,43
1,4920,Note_on_c,3,62,51
1,4920,Note_on_c,3,70,51
1,4920,Text_t,171.429,NA,NA
1,4920,Text_t,14898,NA,NA
1,4920,Tempo,349999,NA,NA
1,5040,Note_off_c,2,46,43
1,5040,Note_off_c,2,53,43
1,5040,Note_off_c,3,62,51
1,5040,Note_off_c,3,70,51
1,5040,Note_on_c,2,53,55
1,5040,Note_on_c,2,41,55
1,5040,Note_on_c,3,60,53
1,5040,Note_on_c,3,69,53
1,5040,Text_t,157.895,NA,NA
1,5040,Text_t,15248,NA,NA
1,5040,Tempo,379999,NA,NA
1,5130,Note_off_c,2,53,55
1,5130,Note_off_c,3,60,53
1,5130,Note_off_c,3,69,53
1,5130,Note_on_c,2,53,51
1,5130,Note_on_c,3,58,49
1,5130,Note_on_c,3,67,49
1,5160,Note_off_c,2,53,51
1,5160,Note_off_c,3,58,49
1,5160,Note_off_c,3,67,49
1,5160,Note_on_c,2,53,45
1,5160,Note_on_c,3,57,45
1,5160,Note_on_c,3,65,45
1,5160,Text_t,171.429,NA,NA
1,5160,Text_t,15628,NA,NA
1,5160,Tempo,349999,NA,NA
1,5280,Note_off_c,2,41,55
1,5280,Note_off_c,2,53,45
1,5280,Note_off_c,3,57,45
1,5280,Note_off_c,3,65,45
1,5280,Note_on_c,2,55,57
1,5280,Note_on_c,2,46,44
1,5280,Note_on_c,3,62,66
1,5280,Note_on_c,3,67,86
1,5280,Text_t,127.66,NA,NA
1,5280,Text_t,15978,NA,NA
1,5280,Tempo,469998,NA,NA
1,5400,Note_off_c,2,55,57
1,5400,Note_off_c,2,46,44
1,5400,Note_off_c,3,62,66
1,5400,Note_off_c,3,67,86
1,5400,Note_on_c,2,48,52
1,5400,Note_on_c,3,55,49
1,5400,Note_on_c,3,62,49
1,5400,Text_t,100,NA,NA
1,5400,Text_t,16448,NA,NA
1,5400,Tempo,600000,NA,NA
1,5460,Note_off_c,3,55,49
1,5460,Note_off_c,3,62,49
1,5460,Note_on_c,3,60,43
1,5460,Note_on_c,3,64,43
1,5520,Note_off_c,2,48,52
1,5520,Note_off_c,3,60,43
1,5520,Note_off_c,3,64,43
1,5520,Note_on_c,2,41,49
1,5520,Note_on_c,2,53,49
1,5520,Note_on_c,3,57,45
1,5520,Note_on_c,3,65,45
1,5520,Text_t,110.092,NA,NA
1,5520,Text_t,17048,NA,NA
1,5520,Tempo,544999,NA,NA
1,5640,Text_t,17593,NA,NA
1,5760,Note_off_c,2,41,49
1,5760,Note_off_c,2,53,49
1,5760,Note_off_c,3,57,45
1,5760,Note_off_c,3,65,45
1,5760,Note_on_c,2,57,104
1,5760,Note_on_c,2,45,104
1,5760,Note_on_c,3,69,101
1,5760,Note_on_c,3,81,101
1,5760,Text_t,139.535,NA,NA
1,5760,Text_t,18138,NA,NA
1,5760,Text_t,ff,NA,NA
1,5760,Tempo,430000,NA,NA
1,5850,Note_off_c,2,57,104
1,5850,Note_off_c,3,69,101
1,5850,Note_off_c,3,81,101
1,5850,Note_on_c,2,57,93
1,5850,Note_on_c,3,69,100
1,5850,Note_on_c,3,81,100
1,5880,Note_off_c,2,45,104
1,5880,Note_off_c,2,57,93
1,5880,Note_off_c,3,69,100
1,5880,Note_off_c,3,81,100
1,5880,Note_on_c,2,57,103
1,5880,Note_on_c,2,57,103
1,5880,Note_on_c,3,69,98
1,5880,Note_on_c,3,81,98
1,5880,Text_t,166.667,NA,NA
1,5880,Text_t,18568,NA,NA
1,5880,Tempo,359999,NA,NA
1,6000,Note_off_c,2,57,103
1,6000,Note_off_c,3,69,98
1,6000,Note_off_c,3,81,98
1,6000,Note_on_c,2,62,98
1,6000,Note_on_c,2,65,98
1,6000,Note_on_c,3,74,94
1,6000,Note_on_c,3,77,94
1,6000,Text_t,155.44,NA,NA
1,6000,Text_t,18928,NA,NA
1,6000,Tempo,386001,NA,NA
1,6120,Note_off_c,2,57,103
1,6120,Note_off_c,2,62,98
1,6120,Note_off_c,2,65,98
1,6120,Note_off_c,3,74,94
1,6120,Note_off_c,3,77,94
1,6120,Note_on_c,2,61,100
1,6120,Note_on_c,2,64,100
1,6120,Note_on_c,3,73,106
1,6120,Note_on_c,3,76,106
1,6120,Text_t,144.928,NA,NA
1,6120,Text_t,19314,NA,NA
1,6120,Tempo,413999,NA,NA
1,6210,Note_off_c,2,61,100
1,6210,Note_off_c,2,64,100
1,6210,Note_off_c,3,73,106
1,6210,Note_off_c,3,76,106
1,6210,Note_on_c,2,59,93
1,6210,Note_on_c,2,62,93
1,6210,Note_on_c,3,71,101
1,6210,Note_on_c,3,74,101
1,6240,Note_off_c,2,59,93
1,6240,Note_off_c,2,62,93
1,6240,Note_off_c,3,71,101
1,6240,Note_off_c,3,74,101
1,6240,Note_on_c,2,61,93
1,6240,Note_on_c,2,64,93
1,6240,Note_on_c,3,73,102
1,6240,Note_on_c,3,76,102
1,6240,Text_t,187.5,NA,NA
1,6240,Text_t,19728,NA,NA
1,6240,Tempo,320000,NA,NA
1,6360,Note_off_c,2,61,93
1,6360,Note_off_c,2,64,93
1,6360,Note_off_c,3,73,102
1,6360,Note_off_c,3,76,102
1,6360,Note_on_c,2,52,95
1,6360,Note_on_c,2,61,95
1,6360,Note_on_c,3,69,94
1,6360,Note_on_c,3,73,94
1,6360,Text_t,166.667,NA,NA
1,6360,Text_t,20048,NA,NA
1,6360,Tempo,359999,NA,NA
1,6480,Note_off_c,2,52,95
1,6480,Note_off_c,2,61,95
1,6480,Note_off_c,3,69,94
1,6480,Note_off_c,3,73,94
1,6480,Note_on_c,2,57,103
1,6480,Note_on_c,2,45,103
1,6480,Note_on_c,3,69,102
1,6480,Note_on_c,3,81,102
1,6480,Text_t,150,NA,NA
1,6480,Text_t,20408,NA,NA
1,6480,Tempo,400000,NA,NA
1,6570,Note_off_c,2,57,103
1,6570,Note_off_c,3,69,102
1,6570,Note_off_c,3,81,102
1,6570,Note_on_c,2,57,100
1,6570,Note_on_c,3,69,102
1,6570,Note_on_c,3,81,102
1,6600,Note_off_c,2,45,103
1,6600,Note_off_c,2,57,100
1,6600,Note_off_c,3,69,102
1,6600,Note_off_c,3,81,102
1,6600,Note_on_c,2,57,94
1,6600,Note_on_c,2,57,94
1,6600,Note_on_c,3,69,95
1,6600,Note_on_c,3,81,95
1,6600,Text_t,166.667,NA,NA
1,6600,Text_t,20808,NA,NA
1,6600,Tempo,359999,NA,NA
1,6720,Note_off_c,2,57,94
1,6720,Note_off_c,3,69,95
1,6720,Note_off_c,3,81,95
1,6720,Note_on_c,2,62,102
1,6720,Note_on_c,2,65,102
1,6720,Note_on_c,3,74,94
1,6720,Note_on_c,3,77,94
