1, 4770, Note_off_c, 2, 53, 54
1, 4770, Note_off_c, 3, 60, 50
1, 4770, Note_off_c, 3, 69, 50
1, 4770, Note_on_c, 2, 41, 45
1, 4770, Note_on_c, 2, 53, 45
1, 4770, Note_on_c, 3, 58, 46
1, 4770, Note_on_c, 3, 67, 46
1, 4800, Note_off_c, 2, 41, 45
1, 4800, Note_off_c, 2, 53, 45
1, 4800, Note_off_c, 3, 58, 46
1, 4800, Note_off_c, 3, 67, 46
1, 4800, Note_on_c, 2, 41, 49
1, 4800, Note_on_c, 2, 53, 49
1, 4800, Note_on_c, 3, 57, 49
1, 4800, Note_on_c, 3, 65, 49
1, 4800, Text_t, "176.471"
1, 4800, Text_t, "14558"
1, 4800, Tempo, 339999
1, 4920, Note_off_c, 2, 41, 49
1, 4920, Note_off_c, 2, 53, 49
1, 4920, Note_off_c, 3, 57, 49
1, 4920, Note_off_c, 3, 65, 49
1, 4920, Note_on_c, 2, 46, 43
1, 4920, Note_on_c, 2, 53, 43
1, 4920, Note_on_c, 3, 62, 51
1, 4920, Note_on_c, 3, 70, 51
1, 4920, Text_t, "171.429"
1, 4920, Text_t, "14898"
1, 4920, Tempo, 349999
1, 5040, Note_off_c, 2, 46, 43
1, 5040, Note_off_c, 2, 53, 43
1, 5040, Note_off_c, 3, 62, 51
1, 5040, Note_off_c, 3, 70, 51
1, 5040, Note_on_c, 2, 53, 55
1, 5040, Note_on_c, 2, 41, 55
1, 5040, Note_on_c, 3, 60, 53
1, 5040, Note_on_c, 3, 69, 53
1, 5040, Text_t, "157.895"
1, 5040, Text_t, "15248"
1, 5040, Tempo, 379999
1, 5130, Note_off_c, 2, 53, 55
1, 5130, Note_off_c, 3, 60, 53
1, 5130, Note_off_c, 3, 69, 53
1, 5130, Note_on_c, 2, 53, 51
1, 5130, Note_on_c, 3, 58, 49
1, 5130, Note_on_c, 3, 67, 49
1, 5160, Note_off_c, 2, 53, 51
1, 5160, Note_off_c, 3, 58, 49
1, 5160, Note_off_c, 3, 67, 49
1, 5160, Note_on_c, 2, 53, 45
1, 5160, Note_on_c, 3, 57, 45
1, 5160, Note_on_c, 3, 65, 45
1, 5160, Text_t, "171.429"
1, 5160, Text_t, "15628"
1, 5160, Tempo, 349999
1, 5280, Note_off_c, 2, 41, 55
1, 5280, Note_off_c, 2, 53, 45
1, 5280, Note_off_c, 3, 57, 45
1, 5280, Note_off_c, 3, 65, 45
1, 5280, Note_on_c, 2, 55, 57
1, 5280, Note_on_c, 2, 46, 44
1, 5280, Note_on_c, 3, 62, 66
1, 5280, Note_on_c, 3, 67, 86
1, 5280, Text_t, "127.66"
1, 5280, Text_t, "15978"
1, 5280, Tempo, 469998
1, 5400, Note_off_c, 2, 55, 57
1, 5400, Note_off_c, 2, 46, 44
1, 5400, Note_off_c, 3, 62, 66
1, 5400, Note_off_c, 3, 67, 86
1, 5400, Note_on_c, 2, 48, 52
1, 5400, Note_on_c, 3, 55, 49
1, 5400, Note_on_c, 3, 62, 49
1, 5400, Text_t, "100"
1, 5400, Text_t, "16448"
1, 5400, Tempo, 600000
1, 5460, Note_off_c, 3, 55, 49
1, 5460, Note_off_c, 3, 62, 49
1, 5460, Note_on_c, 3, 60, 43
1, 5460, Note_on_c, 3, 64, 43
1, 5520, Note_off_c, 2, 48, 52
1, 5520, Note_off_c, 3, 60, 43
1, 5520, Note_off_c, 3, 64, 43
1, 5520, Note_on_c, 2, 41, 49
1, 5520, Note_on_c, 2, 53, 49
1, 5520, Note_on_c, 3, 57, 45
1, 5520, Note_on_c, 3, 65, 45
1, 5520, Text_t, "110.092"
1, 5520, Text_t, "17048"
1, 5520, Tempo, 544999
1, 5640, Text_t, "17593"
1, 5760, Note_off_c, 2, 41, 49
1, 5760, Note_off_c, 2, 53, 49
1, 5760, Note_off_c, 3, 57, 45
1, 5760, Note_off_c, 3, 65, 45
1, 5760, Note_on_c, 2, 57, 104
1, 5760, Note_on_c, 2, 45, 104
1, 5760, Note_on_c, 3, 69, 101
1, 5760, Note_on_c, 3, 81, 101
1, 5760, Text_t, "139.535"
1, 5760, Text_t, "18138"
1, 5760, Text_t, "ff"
1, 5760, Tempo, 430000
1, 5850, Note_off_c, 2, 57, 104
1, 5850, Note_off_c, 3, 69, 101
1, 5850, Note_off_c, 3, 81, 101
1, 5850, Note_on_c, 2, 57, 93
1, 5850, Note_on_c, 3, 69, 100
1, 5850, Note_on_c, 3, 81, 100
1, 5880, Note_off_c, 2, 45, 104
1, 5880, Note_off_c, 2, 57, 93
1, 5880, Note_off_c, 3, 69, 100
1, 5880, Note_off_c, 3, 81, 100
1, 5880, Note_on_c, 2, 57, 103
1, 5880, Note_on_c, 2, 57, 103
1, 5880, Note_on_c, 3, 69, 98
1, 5880, Note_on_c, 3, 81, 98
1, 5880, Text_t, "166.667"
1, 5880, Text_t, "18568"
1, 5880, Tempo, 359999
1, 6000, Note_off_c, 2, 57, 103
1, 6000, Note_off_c, 3, 69, 98
1, 6000, Note_off_c, 3, 81, 98
1, 6000, Note_on_c, 2, 62, 98
1, 6000, Note_on_c, 2, 65, 98
1, 6000, Note_on_c, 3, 74, 94
1, 6000, Note_on_c, 3, 77, 94
1, 6000, Text_t, "155.44"
1, 6000, Text_t, "18928"
1, 6000, Tempo, 386001
1, 6120, Note_off_c, 2, 57, 103
1, 6120, Note_off_c, 2, 62, 98
1, 6120, Note_off_c, 2, 65, 98
1, 6120, Note_off_c, 3, 74, 94
1, 6120, Note_off_c, 3, 77, 94
1, 6120, Note_on_c, 2, 61, 100
1, 6120, Note_on_c, 2, 64, 100
1, 6120, Note_on_c, 3, 73, 106
1, 6120, Note_on_c, 3, 76, 106
1, 6120, Text_t, "144.928"
1, 6120, Text_t, "19314"
1, 6120, Tempo, 413999
1, 6210, Note_off_c, 2, 61, 100
1, 6210, Note_off_c, 2, 64, 100
1, 6210, Note_off_c, 3, 73, 106
1, 6210, Note_off_c, 3, 76, 106
1, 6210, Note_on_c, 2, 59, 93
1, 6210, Note_on_c, 2, 62, 93
1, 6210, Note_on_c, 3, 71, 101
1, 6210, Note_on_c, 3, 74, 101
1, 6240, Note_off_c, 2, 59, 93
1, 6240, Note_off_c, 2, 62, 93
1, 6240, Note_off_c, 3, 71, 101
1, 6240, Note_off_c, 3, 74, 101
1, 6240, Note_on_c, 2, 61, 93
1, 6240, Note_on_c, 2, 64, 93
1, 6240, Note_on_c, 3, 73, 102
1, 6240, Note_on_c, 3, 76, 102
1, 6240, Text_t, "187.5"
1, 6240, Text_t, "19728"
1, 6240, Tempo, 320000
1, 6360, Note_off_c, 2, 61, 93
1, 6360, Note_off_c, 2, 64, 93
1, 6360, Note_off_c, 3, 73, 102
1, 6360, Note_off_c, 3, 76, 102
1, 6360, Note_on_c, 2, 52, 95
1, 6360, Note_on_c, 2, 61, 95
1, 6360, Note_on_c, 3, 69, 94
1, 6360, Note_on_c, 3, 73, 94
1, 6360, Text_t, "166.667"
1, 6360, Text_t, "20048"
1, 6360, Tempo, 359999
1, 6480, Note_off_c, 2, 52, 95
1, 6480, Note_off_c, 2, 61, 95
1, 6480, Note_off_c, 3, 69, 94
1, 6480, Note_off_c, 3, 73, 94
1, 6480, Note_on_c, 2, 57, 103
1, 6480, Note_on_c, 2, 45, 103
